customer id,channel,Nearest_distance_cosco,Net Sales,Age,children count,Transaction_date,Martial status,Region,Loyality_flag,coupon amount,Customer_type,Race_cd,payment,Brands,Income,Orders groceries,Orders_cerials,Orders_chokolates,Orders dentals,Orders cosmetics,Orders_ready_eat,Orders_braverage,Orders_frozen,Loyality_amt,segments
6743,Mobile,22,281585,42,2,2017-04-29,0,Miami,0,31,Homeoffice,Hispanic,Ewallet, Fonterra Cooperative Group Ltd,3524,8,4,10,1,10,7,0,1,320,4
8100,Email,40,474811,41,3,2017-03-24,0,New York,0,36,Busines,white,Ewallet, Thai Beverage Public Co,4667,4,2,1,2,10,5,2,0,281,6
5807,Mobile,34,851193,58,4,2017-10-28,0,Tampa–St. Petersburg,0,35,consumer,Hispanic,Mastercard, MolsonCoors Brewing Co,4489,3,6,6,4,3,10,3,7,167,3
2612,Email,29,524764,18,2,2017-02-12,1,Tampa–St. Petersburg,1,32,Homeoffice,Hispanic,visa, Kraft Heinz,4408,10,7,9,0,3,0,9,0,290,5
4648,store,40,753863,68,4,2017-04-24,1,Chicago,1,38,Busines,Native,visa, Spectrum Brands Holdings,4633,7,6,1,10,2,9,5,2,354,2
8014,Email,1,376723,50,1,2016-11-24,1,Seattle,0,8,Busines,black,Ewallet, PT Gudang Garam*,4737,0,10,1,9,3,7,4,1,158,6
4585,Mobile,39,582883,22,1,2016-07-08,1,Riverside–San Bernardino,0,42,Homeoffice,Hispanic,visa, China Mengniu Dairy Co,3791,1,4,0,10,3,5,6,5,348,4
6330,Mobile,19,968274,93,3,2016-06-26,1,Dallas–Fort Worth,0,43,Homeoffice,asian,Amex, PT Gudang Garam*,4422,2,8,2,7,3,7,3,1,126,3
3137,Email,16,181391,59,1,2017-06-21,1,Tampa–St. Petersburg,0,16,Homeoffice,Hispanic,visa, MolsonCoors Brewing Co,4896,3,5,8,2,4,7,2,2,217,1
4151,store,29,457363,32,4,2016-04-30,0,Chicago,1,34,Homeoffice,black,Amex, AB Electrolux,3577,8,8,2,4,9,0,4,1,386,6
2741,direct,21,781393,83,2,2017-03-29,0,Miami,1,11,consumer,black,Ewallet, Imperial Brands PLC,4223,7,7,9,6,0,5,4,0,460,6
2225,direct,1,613401,17,3,2017-04-24,0,Riverside–San Bernardino,0,46,Homeoffice,spanish,Mastercard, L’Oréal*,3098,2,7,1,3,6,3,6,1,130,1
7633,Email,2,175893,52,2,2017-02-19,0,San Diego,1,8,consumer,Hispanic,Ewallet, Mondelez International,4176,2,8,5,0,10,0,3,10,127,2
4995,Email,13,868501,81,3,2017-12-10,0,Miami,1,29,Busines,black,Amex, Sapporo Holdings Ltd,4853,4,10,0,2,10,4,8,0,392,4
2437,direct,6,523112,94,3,2017-01-01,1,Denver,1,5,Homeoffice,asian,cash, Svenska Cellulosa AB SCA,3074,5,8,10,7,4,4,10,4,38,3
4587,direct,26,786356,12,3,2016-08-08,1,Seattle,0,4,Homeoffice,spanish,cash, Diageo PLC,4366,9,2,0,0,8,3,8,10,388,1
2535,store,16,967913,86,4,2017-06-25,0,Miami,0,14,consumer,black,Mastercard, Kraft Heinz,3856,6,4,1,2,1,5,1,5,448,1
7370,direct,48,612638,14,2,2016-08-21,1,Atlanta,0,29,Homeoffice,spanish,cash, McCormick & Co,4769,6,4,3,8,0,5,7,8,50,5
2976,store,20,63056,87,3,2017-10-14,0,Los Angeles,0,15,Busines,white,visa, British American Tobacco PLC,3478,10,6,0,6,4,1,10,8,286,3
6367,store,16,585312,24,4,2016-08-31,1,Philadelphia,0,43,consumer,black,Amex, PVH Corp,4429,4,1,9,1,5,3,1,6,284,5
3621,Email,12,899167,42,1,2017-11-02,0,Boston,1,47,Busines,Native,Ewallet, Unilever N,3894,5,0,2,5,7,9,4,5,212,5
2260,store,28,743503,46,2,2017-01-11,0,Los Angeles,0,36,consumer,Native,visa, Procter & Gamble,3032,3,6,1,3,10,0,9,7,100,5
3549,Email,38,280097,56,4,2017-01-06,0,Atlanta,0,44,consumer,asian,cash, Compagnie Financiere Richemont SA*,4654,6,0,7,4,8,5,7,4,96,6
3461,store,5,398654,46,2,2016-12-29,0,Boston,1,33,consumer,Hispanic,visa, 3M Co,3992,8,10,10,1,6,7,10,6,67,3
6951,Mobile,15,4068,75,2,2017-03-17,0,Dallas–Fort Worth,1,24,consumer,white,cash, Mondelez International,4099,6,0,1,3,9,6,7,5,339,5
2106,store,43,860478,59,3,2016-11-08,0,Los Angeles,0,15,consumer,spanish,Amex," Christian Dior, SE*",3945,6,2,4,7,2,3,9,3,21,2
6039,Mobile,34,919273,84,3,2017-06-04,0,Minneapolis–St. Paul,0,9,Busines,white,Amex, Dean Foods Co,4650,5,8,7,5,9,8,9,9,387,2
3129,Mobile,8,530697,97,3,2017-03-11,1,Chicago,1,25,Homeoffice,spanish,Amex, RB*,4721,0,9,0,6,10,1,9,7,169,1
1705,Mobile,34,982427,18,2,2017-05-07,0,Boston,0,11,Homeoffice,spanish,visa, Coca-Cola Co,3866,3,3,3,0,8,3,5,0,219,4
4943,store,9,885608,57,3,2017-10-28,0,"Washington, D.C",0,41,Busines,Hispanic,Mastercard," Hasbro, Inc",4490,2,10,2,8,0,10,2,1,313,5
1001,Email,14,195324,62,3,2017-07-22,0,San Francisco,1,28,Busines,black,visa, Tyson Foods,4734,8,7,7,7,3,10,7,9,83,1
8547,Email,47,777043,71,4,2017-08-01,1,Chicago,1,12,consumer,Hispanic,visa, San Miguel Corp,4290,6,8,5,2,3,2,3,7,380,2
2527,Mobile,14,30215,87,2,2016-05-30,0,Phoenix,0,20,Homeoffice,asian,visa, Groupe SEB*,3526,9,6,6,5,9,7,0,2,128,5
1963,Mobile,22,870133,14,2,2016-01-12,1,Tampa–St. Petersburg,1,42,Homeoffice,white,Amex, Post Holdings,3841,0,10,7,0,1,9,4,9,421,5
6099,Email,12,588275,62,1,2017-05-16,1,Phoenix,1,26,Busines,black,Mastercard, Stanley Black & Decker,4927,5,5,6,10,10,3,7,4,160,2
1578,store,9,651294,25,4,2016-06-09,1,"Washington, D.C",1,29,consumer,Hispanic,Mastercard, Constellation Brands,4402,4,7,9,3,2,9,8,7,410,3
5291,Email,44,66160,82,1,2016-12-17,1,"Washington, D.C",1,41,Homeoffice,spanish,Mastercard, Unilever N,3350,0,1,9,6,4,3,8,8,128,3
5434,direct,30,651470,52,3,2016-10-10,1,Detroit,1,5,Busines,Native,cash, Hermes International*,4971,8,6,8,9,7,10,9,6,400,4
2336,store,21,540054,40,4,2016-06-30,0,Miami,1,14,Busines,Native,Mastercard, Clorox Co,3051,7,6,9,9,8,0,1,0,123,5
3467,Email,7,845647,72,3,2017-09-05,1,Riverside–San Bernardino,0,24,Homeoffice,Native,visa, Bandai Namco Holdings*,3950,10,6,2,9,5,6,8,6,248,1
8070,store,46,484710,39,1,2016-08-29,1,Baltimore,0,22,Busines,asian,cash," Mattel, Inc",3553,0,0,3,3,7,3,4,7,193,4
7690,direct,2,427095,10,3,2017-11-23,0,"Washington, D.C",1,7,consumer,asian,Amex, Clorox Co,4601,3,10,2,10,10,9,5,2,106,2
5036,Mobile,30,902536,69,2,2016-06-12,0,Boston,0,29,Homeoffice,black,Mastercard, PVH Corp,4250,7,0,8,3,1,3,3,1,491,3
5585,store,16,158602,13,2,2017-01-06,1,Miami,1,36,Homeoffice,spanish,Amex, Estée Lauder Companies,4772,2,8,8,4,3,7,8,6,459,3
7080,store,28,81254,28,1,2017-11-02,0,Los Angeles,1,50,consumer,black,visa, Hermes International*,4601,3,2,1,4,1,6,6,8,203,2
5800,Email,44,917804,74,4,2017-05-19,0,San Diego,1,5,Homeoffice,white,visa, Japan Tobacco,4580,6,7,7,6,9,4,4,6,103,2
1583,Email,23,207481,16,2,2016-11-27,1,Denver,0,32,Busines,Native,cash," Saputo, Inc",4809,9,3,3,8,7,3,5,5,429,1
7582,direct,45,928193,26,4,2016-11-15,0,Seattle,0,35,consumer,spanish,visa, BRF - Brasil Foods*,3137,2,8,10,6,9,8,2,5,87,1
7083,store,21,319812,49,1,2017-07-13,1,New York,1,2,Busines,Native,visa, Henkel AG,4297,10,7,6,8,7,1,10,9,117,3
3554,Mobile,7,273664,64,3,2017-05-29,0,Detroit,1,19,Homeoffice,Native,visa," Nike, Inc",4975,4,1,6,2,7,1,10,0,289,6
8979,store,33,829948,97,2,2016-04-01,0,San Diego,1,37,Busines,Hispanic,visa, Constellation Brands,3149,7,4,3,8,4,8,2,5,451,6
1778,store,45,861567,51,4,2017-08-09,0,"Washington, D.C",1,23,consumer,Hispanic,Ewallet, PVH Corp,4564,4,0,7,2,3,7,0,2,330,4
5313,Email,17,846385,92,1,2017-09-19,0,Riverside–San Bernardino,1,50,Homeoffice,black,visa, PVH Corp,3563,3,2,9,5,1,6,1,6,336,5
2518,direct,13,147535,31,3,2017-04-07,0,San Diego,0,40,consumer,Native,cash, 3M Co,4899,3,9,1,7,6,10,10,5,167,6
4139,Email,36,242752,39,1,2017-10-08,0,New York,1,48,Homeoffice,Hispanic,Ewallet, Hanesbrands,3236,9,4,8,10,1,5,6,1,492,6
1433,Mobile,19,168012,38,3,2016-09-04,0,Detroit,1,3,consumer,white,visa, Uni-President Enterprises,3422,10,7,7,3,6,6,5,0,144,1
6622,Email,29,989579,68,2,2017-12-08,0,Philadelphia,1,46,Homeoffice,Hispanic,Amex, Estée Lauder Companies,4790,5,3,6,8,1,2,4,2,368,3
4708,direct,30,286894,72,3,2016-12-25,0,San Francisco,0,15,Homeoffice,spanish,visa, Kao Corp,3252,3,0,8,0,0,5,2,0,229,4
2257,direct,13,113039,60,4,2016-04-02,1,Riverside–San Bernardino,1,30,Homeoffice,black,Mastercard, Kao Corp,4119,6,8,1,4,1,6,0,1,265,2
1684,Mobile,19,315398,36,4,2016-08-14,1,Chicago,1,38,consumer,black,Mastercard, Arcelik A,4393,9,5,3,10,0,1,9,10,309,2
2068,Mobile,46,262950,82,1,2017-11-26,0,Detroit,0,45,consumer,Hispanic,Ewallet, Svenska Cellulosa AB SCA,3800,0,0,4,1,0,5,8,6,486,6
5826,store,33,267726,56,2,2017-12-13,0,"Washington, D.C",0,1,consumer,white,Amex, AB Electrolux,3075,10,7,10,0,9,0,8,3,29,3
7565,direct,44,910251,47,1,2016-10-08,1,Dallas–Fort Worth,0,2,Busines,Native,Mastercard, WH Group Ltd,4860,4,8,2,5,1,10,2,1,189,5
6872,store,37,657067,83,1,2016-02-22,0,Atlanta,0,18,consumer,asian,cash, Imperial Brands PLC,4540,1,10,2,7,0,9,9,0,187,1
6732,direct,26,455355,26,1,2017-02-05,0,Atlanta,1,50,Homeoffice,Hispanic,Amex, Henkel AG,3817,9,1,3,2,10,3,9,0,217,2
7908,Mobile,24,768069,15,3,2017-03-18,0,Baltimore,0,6,Homeoffice,black,cash, Kewpie Corp,3380,1,0,9,9,3,6,10,9,251,1
1306,Mobile,11,204086,26,4,2016-10-09,1,San Diego,1,2,Homeoffice,white,Ewallet, Sapporo Holdings Ltd,4699,2,8,5,4,1,8,9,5,331,2
4631,direct,3,379480,17,1,2017-05-25,1,Denver,1,22,Busines,Hispanic,cash, Parmalat SpA*,3728,5,2,3,3,2,1,9,2,84,6
4334,direct,50,845176,79,1,2016-03-28,1,San Diego,1,5,consumer,black,visa, Nestlé SA*,4814,2,8,0,8,1,4,5,6,121,4
5708,direct,2,650182,68,4,2017-07-25,0,Seattle,1,3,consumer,asian,Mastercard, Philip Morris International,3409,5,4,0,2,0,1,9,8,130,3
3218,direct,50,29404,70,1,2016-10-20,1,San Francisco,1,3,Busines,asian,Mastercard, Tyson Foods,4486,2,9,8,8,7,0,2,4,203,2
7073,store,23,638239,38,3,2017-12-09,0,San Francisco,1,11,Homeoffice,Native,visa, Constellation Brands,3598,7,9,2,8,0,9,3,10,59,2
8412,Mobile,39,6237,28,1,2017-03-27,1,Houston,0,18,Homeoffice,black,Amex, Spectrum Brands Holdings,3154,2,6,9,2,4,9,8,3,415,3
4013,store,14,838579,19,2,2016-10-07,0,Tampa–St. Petersburg,0,33,Busines,white,visa, Estée Lauder Companies,4518,4,4,9,2,1,9,3,6,473,5
5629,direct,33,949959,95,3,2016-06-01,1,New York,1,6,consumer,white,Ewallet, MolsonCoors Brewing Co,4395,9,4,3,5,8,9,0,6,219,6
6017,store,26,323644,21,3,2017-08-21,0,Riverside–San Bernardino,1,20,Homeoffice,Native,Mastercard, PepsiCo,3745,4,10,7,1,4,4,2,2,185,6
4981,Mobile,30,107316,54,4,2016-03-22,0,San Diego,0,31,consumer,Native,visa," Hasbro, Inc",4116,9,10,7,5,7,1,8,6,204,3
3395,Mobile,31,828518,27,1,2017-02-22,1,"Washington, D.C",1,1,Busines,white,Ewallet, Henkel AG,4726,7,8,9,9,6,10,10,8,205,1
5818,store,38,127526,23,3,2016-11-01,0,Phoenix,0,2,Busines,asian,Ewallet, Adidas AG,4135,2,3,0,1,7,1,2,0,41,3
1027,Email,10,34817,35,2,2017-01-11,1,Houston,0,3,Busines,Native,visa, Conagra Brands,3201,1,6,5,10,5,1,3,0,434,1
4839,store,20,167110,87,1,2017-06-19,1,Chicago,1,46,consumer,white,cash, Kirin Holdings,3080,5,5,9,7,7,2,0,1,199,1
3166,store,50,119739,77,4,2017-06-19,0,Miami,1,44,Busines,Hispanic,Amex, VF Corp,4201,2,2,10,7,10,7,4,7,208,4
3318,Email,45,642703,77,2,2016-01-04,0,New York,1,17,Busines,black,Ewallet, Herbalife Ltd,4500,2,6,10,8,2,10,5,9,365,1
3879,direct,17,421624,91,2,2016-04-22,0,Miami,1,47,Homeoffice,white,cash, Unilever N,4998,9,8,9,10,10,6,10,0,452,2
4786,store,37,940941,70,1,2017-03-10,1,Los Angeles,0,26,consumer,asian,Amex, Conagra Brands,3807,4,6,0,0,3,0,9,2,460,3
1187,Mobile,46,595676,12,2,2016-11-28,0,Chicago,1,3,Homeoffice,Hispanic,Ewallet, Coca-Cola Co,3206,9,5,3,3,10,1,0,0,398,4
2107,direct,31,445057,92,3,2017-01-07,1,Miami,0,16,Homeoffice,white,cash, Ralph Lauren Corp,3833,6,3,9,5,9,3,2,6,179,4
7290,Mobile,5,338263,13,4,2017-01-02,1,Tampa–St. Petersburg,0,28,consumer,white,cash, Kewpie Corp,4014,7,5,7,7,10,7,5,0,284,5
6317,Email,22,738776,76,3,2016-02-23,1,Miami,0,42,Busines,Native,Mastercard, Kirin Holdings,3834,4,2,2,2,7,9,8,5,345,1
4256,store,8,506970,29,1,2016-01-24,0,Dallas–Fort Worth,1,38,Homeoffice,white,Amex, Qingdao Haier Co,3688,7,3,8,4,3,3,0,6,299,5
4893,Email,29,189064,29,3,2017-10-18,0,New York,0,16,Busines,Hispanic,cash, AB Electrolux,4367,6,6,5,8,5,8,0,2,392,1
3321,direct,29,505029,27,3,2017-08-20,1,Baltimore,1,44,Homeoffice,Hispanic,Amex, Japan Tobacco,3879,8,10,4,2,2,6,4,3,253,3
8671,Email,18,939013,39,2,2017-08-19,0,San Diego,1,43,consumer,spanish,visa, Hanesbrands,4746,8,1,8,8,3,8,4,3,242,6
2168,Mobile,28,633016,31,2,2016-09-11,0,New York,0,38,consumer,asian,cash, Danone*,3780,3,1,1,6,4,2,9,6,139,4
1980,store,14,886170,32,3,2017-02-21,0,Houston,1,9,consumer,Native,visa, Electronic Arts*,3583,1,9,1,0,5,8,5,10,269,4
3817,Mobile,42,345230,12,2,2017-05-28,1,Detroit,1,17,Busines,black,Ewallet, Tyson Foods,3215,5,7,5,8,9,3,10,9,500,1
8943,store,28,412916,25,4,2016-07-06,0,Detroit,1,33,consumer,Hispanic,Amex, PepsiCo,3429,2,7,3,0,10,9,8,10,314,6
3363,Mobile,24,679200,37,4,2016-12-02,0,Tampa–St. Petersburg,0,43,Homeoffice,asian,Ewallet, Stanley Black & Decker,3341,8,9,9,2,0,6,5,4,130,3
8165,store,42,912973,25,1,2017-09-23,1,Detroit,1,46,Homeoffice,white,Mastercard, Kewpie Corp,3157,0,6,3,4,3,1,3,6,57,1
1257,Mobile,23,27905,23,4,2016-09-14,1,"Washington, D.C",0,34,Homeoffice,Native,cash, JBS S,4089,3,1,6,3,1,7,2,1,312,5
8891,Email,50,410857,84,2,2016-11-02,0,Dallas–Fort Worth,1,6,consumer,black,Amex, Henkel AG,4118,10,2,9,10,6,8,3,2,495,3
8580,Email,19,830511,35,4,2016-09-10,1,Tampa–St. Petersburg,0,24,Homeoffice,black,visa, RB*,4452,4,10,1,7,4,9,6,6,142,6
1810,direct,25,536489,79,2,2016-02-14,0,Tampa–St. Petersburg,0,18,Homeoffice,white,visa, Tyson Foods,3359,4,10,3,8,9,8,4,1,386,2
6058,Mobile,45,336666,81,1,2017-06-12,0,Denver,0,33,consumer,asian,visa, Post Holdings,4796,1,4,5,10,4,10,1,9,223,4
4024,direct,45,993385,79,3,2016-09-01,0,Seattle,1,32,Homeoffice,spanish,Mastercard, Kering,4562,5,7,2,8,2,0,6,8,319,4
6215,direct,27,33121,48,1,2017-07-11,1,Baltimore,0,18,consumer,white,Mastercard, J,3020,9,10,6,2,9,3,1,3,442,6
7635,direct,12,170839,22,2,2017-06-01,1,Atlanta,1,33,Homeoffice,Hispanic,visa, LVMH Moët Hennessy Louis Vuitton*,4570,9,5,1,8,8,6,10,4,235,4
4652,Email,22,562381,15,1,2016-10-19,1,Los Angeles,1,2,Homeoffice,Native,visa, AB Electrolux,4888,1,6,4,4,6,6,8,4,435,4
7534,Mobile,47,992801,89,4,2017-08-09,0,New York,0,5,Homeoffice,black,cash, Post Holdings,4369,0,3,9,5,4,3,1,7,329,4
5270,direct,25,625972,27,4,2016-07-11,1,Los Angeles,0,28,Busines,black,visa," Christian Dior, SE*",3779,7,8,6,7,5,8,5,4,371,3
6751,Email,11,991250,83,4,2016-06-03,0,Minneapolis–St. Paul,1,22,Busines,asian,Amex, Nintendo Co,3911,10,8,6,3,4,6,9,4,356,5
7662,Email,8,298755,81,4,2017-11-26,1,Boston,0,8,consumer,spanish,cash, Electronic Arts*,3455,3,7,8,7,7,3,5,9,24,1
4215,direct,30,201853,79,3,2017-04-10,0,Chicago,0,16,Homeoffice,Native,Ewallet, Kering,3533,2,9,4,7,7,0,0,9,497,6
5732,direct,9,764362,85,1,2017-10-05,1,"Washington, D.C",1,46,consumer,white,Amex, Unicharm Corp,4348,6,3,6,1,0,6,2,4,51,4
3863,store,25,415556,23,1,2016-06-30,1,Seattle,1,39,consumer,Hispanic,Amex, PVH Corp,4659,8,6,4,3,0,10,2,0,355,6
2228,Mobile,33,345448,88,2,2017-09-23,0,Dallas–Fort Worth,1,41,consumer,asian,Mastercard, Hermes International*,3122,8,0,4,7,1,6,5,4,203,6
4543,Mobile,18,414267,98,3,2016-06-15,1,Los Angeles,1,33,Busines,asian,cash," Reynolds American, Inc",3216,2,1,1,8,5,6,10,6,175,4
3422,store,43,181298,49,2,2016-03-02,0,Baltimore,1,39,Homeoffice,spanish,Mastercard, Japan Tobacco,4583,4,3,3,1,8,10,8,1,47,2
3630,Email,26,5487,41,4,2016-07-05,1,Riverside–San Bernardino,1,5,consumer,asian,Amex, 3M Co,3779,6,0,7,2,9,2,6,7,26,5
2074,Mobile,15,284281,63,4,2016-07-12,1,Miami,0,1,Busines,black,Mastercard, Johnson & Johnson (Consumer),3707,4,10,6,9,4,5,3,0,96,4
8446,Email,45,439465,22,4,2016-12-25,0,Philadelphia,0,13,consumer,Hispanic,Amex, Brown-Forman,3191,2,3,10,2,10,4,2,2,318,3
4312,direct,27,341182,81,2,2017-05-13,1,Phoenix,0,3,Busines,spanish,Mastercard," Hasbro, Inc",4741,2,9,8,0,0,2,9,9,156,4
6621,Email,36,856036,17,2,2017-12-11,1,"Washington, D.C",0,27,consumer,black,Ewallet, MolsonCoors Brewing Co,3223,2,8,8,4,1,10,4,10,120,4
8419,Email,10,6639,22,4,2017-08-05,1,Minneapolis–St. Paul,1,49,consumer,asian,Ewallet," Grupo Bimbo, S",4818,4,9,7,9,2,2,7,0,170,6
6321,Mobile,35,120691,66,1,2016-07-25,0,Atlanta,1,15,Busines,Native,visa, Whirlpool Corp,3240,9,5,9,4,1,5,10,10,251,5
6214,store,41,56322,37,3,2016-08-16,0,San Francisco,1,21,consumer,Hispanic,Mastercard," Hasbro, Inc",4509,8,3,10,9,8,0,10,1,362,1
8962,Email,6,357807,20,3,2016-07-12,1,Los Angeles,0,7,consumer,black,visa, Kraft Heinz,3328,6,2,5,10,10,5,9,10,27,6
3997,Email,23,204712,13,4,2016-03-29,1,Atlanta,1,45,Homeoffice,black,Amex," Grupo Bimbo, S",4924,1,1,0,2,5,5,8,0,374,5
2337,store,14,365681,94,4,2016-06-15,1,Dallas–Fort Worth,0,25,Busines,Native,Mastercard, Uni-President Enterprises,4882,9,10,7,9,8,5,5,2,355,6
2888,direct,42,532014,63,2,2017-09-22,1,Seattle,1,48,Homeoffice,black,Ewallet, Thai Beverage Public Co,4229,5,0,0,4,5,5,3,0,481,5
4383,store,24,647773,79,3,2016-03-02,0,Miami,0,40,Homeoffice,asian,Amex, Kraft Heinz,4689,10,7,9,10,4,3,2,6,142,4
4657,store,46,834105,73,1,2016-10-13,0,Houston,0,40,Homeoffice,Hispanic,Ewallet, Unilever N,3969,0,1,8,2,8,0,7,8,271,4
8912,direct,30,592413,21,1,2016-08-27,1,Phoenix,1,37,Homeoffice,white,Ewallet, Avon Products,3525,5,10,2,3,6,0,8,6,203,6
3898,store,32,224150,45,3,2016-04-30,0,Los Angeles,1,28,Busines,asian,cash, Hormel Foods,3652,0,10,6,0,0,10,4,10,309,3
6632,Mobile,13,579843,70,3,2017-05-15,0,New York,0,22,Busines,spanish,Amex, Danone*,4172,8,6,9,3,5,1,0,3,404,3
5519,Mobile,19,3307,15,4,2016-11-06,1,Riverside–San Bernardino,1,2,Homeoffice,black,Amex, Nipponham Group*,4087,3,3,8,3,6,3,5,0,118,6
9000,Email,33,113135,40,1,2016-12-03,1,Atlanta,1,13,Busines,spanish,Amex, Stanley Black & Decker,3244,8,6,10,10,6,0,0,3,374,5
6364,direct,7,554075,18,2,2016-12-16,0,Denver,1,15,Busines,black,Ewallet, Heineken Holding N,3860,5,9,3,3,9,6,0,1,89,6
5333,Mobile,27,659529,48,3,2016-06-14,0,Tampa–St. Petersburg,0,9,Homeoffice,Hispanic,Amex, Sapporo Holdings Ltd,3324,1,3,0,3,1,1,5,0,252,3
2562,Mobile,28,29943,34,3,2017-10-01,0,Miami,0,29,Homeoffice,black,cash, Coca-Cola Co,3895,3,0,3,9,10,3,10,3,392,3
8366,Mobile,9,523268,64,4,2017-10-03,1,Atlanta,1,30,Homeoffice,white,Amex, MolsonCoors Brewing Co,3599,6,3,4,2,5,0,6,2,333,5
6287,store,11,955498,65,3,2017-11-29,0,Philadelphia,1,34,consumer,asian,Ewallet, San Miguel Corp,3177,10,3,10,5,2,0,3,6,200,6
7011,Mobile,49,99654,43,3,2016-07-24,1,Miami,1,45,Homeoffice,black,Ewallet, Qingdao Haier Co,4474,0,4,8,7,10,5,9,3,195,3
8700,store,9,822015,40,2,2016-10-20,0,Philadelphia,0,21,Busines,white,cash, Arcelik A,3940,10,0,1,8,9,8,3,7,158,6
8080,store,49,64946,95,4,2016-12-09,0,"Washington, D.C",1,24,consumer,black,cash, AB Electrolux,4428,5,2,7,9,3,9,4,8,481,4
6505,direct,10,113594,98,2,2016-06-15,0,San Francisco,1,2,Busines,spanish,Ewallet, Pernod Ricard*,4016,7,8,0,1,9,7,9,5,305,6
7908,store,49,275812,33,4,2016-05-19,1,Baltimore,0,1,Busines,white,Mastercard, Clorox Co,3347,5,3,8,0,3,6,1,9,133,4
7447,Mobile,50,130613,67,1,2016-02-23,1,Chicago,0,24,consumer,white,Mastercard, Hanesbrands,3328,0,1,10,5,5,9,7,2,142,4
4004,store,16,564259,61,2,2016-07-19,1,Baltimore,1,4,consumer,white,Mastercard, Kimberly-Clark Corp,4310,4,10,6,2,7,4,1,1,453,2
5477,Email,11,242956,71,2,2017-01-19,0,Denver,1,31,consumer,Native,visa, Herbalife Ltd,3673,7,5,8,7,3,8,4,0,78,6
6616,Email,28,446705,45,1,2016-03-13,0,Detroit,1,9,Homeoffice,Hispanic,Mastercard," Christian Dior, SE*",3155,0,3,0,5,2,10,1,8,277,1
8773,Mobile,29,30843,12,2,2016-12-21,0,"Washington, D.C",0,36,consumer,white,Amex, Hanesbrands,4027,10,5,7,4,4,8,4,6,326,6
8528,Mobile,33,659025,95,4,2016-02-11,1,Denver,0,4,Busines,white,cash, Dr Pepper Snapple Group,4220,5,9,8,6,2,3,9,4,37,2
6677,store,31,996002,12,2,2016-04-13,1,Chicago,0,43,consumer,white,visa, Stanley Black & Decker,4344,5,7,3,0,10,6,8,1,428,2
